"","CRIM","ZN","NOX","RM","DIS","RAD","TAX","PTRATIO","B","LSTAT","MEDV"
"102",0.52693,0,0.504,8.725,2.8944,8,307,17.4,382,4.63,39.5247156688628
"103",0.41238,0,0.504,7.163,3.2157,8,307,17.4,372.08,6.36,32.3302979035646
"104",0.46296,0,0.504,7.412,3.6715,8,307,17.4,376.14,5.25,33.154030498268
"105",0.33045,0,0.507,6.086,3.6519,8,307,17.4,376.75,10.88,25.2846879682138
"106",0.33983,22,0.431,6.108,8.0555,7,330,19.1,390.18,9.16,20.0884340052219
"107",0.36894,22,0.431,8.259,8.9067,7,330,19.1,396.9,3.54,29.6702055351571
"108",0.61154,20,0.647,8.704,1.801,5,264,13,389.7,5.12,43.0056268310701
"109",0.82526,20,0.647,7.327,2.0788,5,264,13,393.42,11.25,34.2693494493022
"110",0.5405,20,0.575,7.47,2.872,5,264,13,390.3,3.16,39.3084968132874
"111",0.1146,20,0.464,6.538,3.9175,3,223,18.6,394.96,7.73,28.6622793700826
"112",0.22188,20,0.464,7.691,4.3665,3,223,18.6,390.77,6.58,32.7256935094894
"113",0.09604,40,0.447,6.854,4.2673,4,254,17.6,396.9,2.98,34.154285117854
"114",0.10469,40,0.447,7.267,4.7872,4,254,17.6,389.25,6.05,33.1168531772691
"115",0.03578,20,0.4429,7.82,4.6947,5,216,14.9,387.31,3.76,38.6859288656544
"116",0.01096,55,0.389,6.453,7.3073,1,300,15.3,394.72,8.23,27.9106707692603
"117",0.01965,80,0.385,6.23,9.0892,1,241,18.2,341.6,12.93,20.5929413191143
"118",0.04297,52.5,0.405,6.565,7.3172,6,293,16.6,371.72,9.51,27.1691605215211
"119",0.07886,80,0.411,7.148,5.1167,4,245,19.2,396.9,3.56,35.0259697422841
"120",0.03615,80,0.411,6.63,5.1167,4,245,19.2,396.9,4.7,32.5312091083025
"121",0.05561,70,0.4,7.041,7.8278,5,358,14.8,371.58,4.74,32.4784327501101
"122",0.03537,34,0.433,6.59,5.4917,7,329,16.1,395.75,9.5,29.1780006767279
"123",0.05479,33,0.472,6.616,3.37,7,222,18.4,393.36,8.93,30.978714209599
"124",0.07503,33,0.472,7.42,3.0992,7,222,18.4,396.9,6.47,35.6831879377528
"125",0.79041,0,0.544,6.122,2.6403,4,304,18.4,396.9,5.98,27.0644224549566
"126",0.3692,0,0.544,6.567,3.6023,4,304,18.4,395.69,9.28,25.427060904334
"127",0.31827,0,0.544,5.914,3.9986,4,304,18.4,390.7,18.33,17.5091062761508
"128",0.47547,0,0.544,6.113,4.0019,4,304,18.4,396.23,12.73,21.2844970358784
"129",0.34109,0,0.493,6.415,4.7211,5,287,19.6,396.9,6.12,25.1488049425233
"130",0.30347,0,0.493,6.312,5.4159,5,287,19.6,396.9,6.15,23.6754993915659
"131",0.06617,0,0.46,5.868,5.2146,4,430,16.9,382.44,9.97,21.6729720933119
"132",0.03738,0,0.515,6.31,6.4584,5,224,20.2,389.4,6.75,21.3149214870091
"133",0.06162,0,0.442,5.898,8.0136,3,352,18.8,364.61,12.67,14.8643597142222
"134",0.0187,85,0.429,6.516,8.5353,4,351,17.9,392.43,6.36,25.9160362156981
"135",0.07244,60,0.411,5.884,10.7103,4,411,18.3,392.33,7.79,17.4644074137286
"136",0.04301,80,0.413,5.663,10.5857,4,334,22,382.8,8.05,14.9711245349097
"137",8.98296,0,0.77,6.212,2.1222,24,666,20.2,377.73,17.6,16.7326855212018
"138",4.26131,0,0.77,6.112,2.5091,24,666,20.2,390.74,12.67,18.990728297886
"139",4.54192,0,0.77,6.398,2.5182,24,666,20.2,374.56,7.79,22.4773370189952
"140",3.83684,0,0.77,6.251,2.2955,24,666,20.2,350.65,14.19,18.6885977316802
"141",6.53876,0,0.631,7.016,1.2024,24,666,20.2,392.05,2.96,32.0481512658816
"142",8.26725,0,0.668,5.875,1.1296,24,666,20.2,347.88,8.88,23.5389302972252
"143",18.4982,0,0.668,4.138,1.137,24,666,20.2,396.9,37.97,0.982709052343246
"144",9.82349,0,0.671,6.794,1.358,24,666,20.2,396.9,21.24,20.0898735643402
"145",5.87205,0,0.693,6.405,1.6768,24,666,20.2,396.9,19.37,19.1355287556095
"146",7.40389,0,0.597,5.617,1.4547,24,666,20.2,314.64,26.4,13.7954627111333
"147",9.32909,0,0.713,6.185,2.2616,24,666,20.2,396.9,18.13,17.3745755674999
"148",7.52601,0,0.713,6.417,2.185,24,666,20.2,304.21,19.31,17.0365431859474
"149",6.71772,0,0.713,6.749,2.3236,24,666,20.2,0.32,17.44,16.3722120978413
"150",5.09017,0,0.713,6.297,2.3682,24,666,20.2,385.09,17.27,18.3756369132928
"151",8.24809,0,0.713,7.393,2.4527,24,666,20.2,375.87,16.74,22.1317124124659
"152",6.80117,0,0.713,6.081,2.7175,24,666,20.2,396.9,14.7,18.3749199372772
"153",3.77498,0,0.655,5.952,2.8715,24,666,20.2,22.01,17.15,14.3726917743398
"154",4.42228,0,0.584,6.003,2.5403,24,666,20.2,331.29,21.32,16.9287226148036
"155",4.03841,0,0.532,6.229,3.0993,24,666,20.2,395.33,12.87,23.057860924055
"156",8.05579,0,0.584,5.427,2.4298,24,666,20.2,352.58,18.14,16.5696716501505
"157",6.39312,0,0.584,6.162,2.206,24,666,20.2,302.76,24.1,16.0846748662093
"158",4.87141,0,0.614,6.484,2.3053,24,666,20.2,396.21,18.68,20.431619696212
"159",5.82401,0,0.532,6.242,3.4242,24,666,20.2,396.9,10.74,23.5911235661003
"160",5.70818,0,0.532,6.75,3.3317,24,666,20.2,393.07,7.74,27.1783734381715
"161",5.73116,0,0.532,7.061,3.4106,24,666,20.2,395.28,7.01,28.597624065772
"162",2.37857,0,0.583,5.871,3.724,24,666,20.2,370.73,13.34,19.4739430947168
"163",0.15086,0,0.609,5.454,1.8209,4,711,20.1,395.09,18.06,12.5067738856558
"164",0.10574,0,0.609,5.983,1.8681,4,711,20.1,390.11,18.07,14.3105951700131
"165",0.27957,0,0.585,5.926,2.3817,6,391,19.2,396.9,13.59,20.8256160005235
"166",0.06263,0,0.573,6.593,2.4786,1,273,21,391.99,9.67,23.5554007715574
